Cell_ID	Longitude	Latitude	Bird_Richness	Bird_Beta_-_Jaccard	Mammal_Richness	Mammal_Beta_-_Jaccard	Amphibian_Richness	Amphibian_Beta_-_Jaccard	Cell_Area	EcoRegions_Count	EcoRegions_Jaccard	AET	NDVI	Topographical_Range	Topographical_Average	PET	Annual_Mean_Temperature	Mean_Temperature_Diurnal_Range	Isothermality	Mean_Temperature_of_Warmest_Quarter	Mean_Temperature_of_Coldest_Quarter	Mean_Relative_Humidity	Mean_Annual_Precipitation	Precipitation_Seasonality	Precipitation_in_the_Wettest_Quarter	Precipitation_of_Driest_Quarter
1	-166.5	65.5	90	0.136	26	0.071	0	1	5077.175	2	0	22.62	18.47	310	109.056	28.71	-5.3829	6.8114	1.92	7.4686	-17.2	82.25	390.6	61.743	194.943	50.971
2	-165.5	61.5	93	0.089	25	0	0	1	5848.153	1	0	31.157	12.58	250	42.806	32.167	-1.4471	6.9353	2.3	9.5147	-11.5265	85	640.382	62.029	308.912	82.294
3	-165.5	64.5	95	0.12	27	0.036	0	1	5272.205	1	0.5	26.365	22.5	724	128.111	29.645	-4.4571	7.4333	2.1619	8.2762	-15.7238	76.407	414.381	61.619	207.81	53.048
4	-165.5	65.5	92	0.148	27	0.036	0	1	5077.175	2	0	23.087	25.87	460	157.972	29.06	-5.1444	7.1694	2.0167	8.0778	-16.8639	80.551	372.5	62.139	187.917	47.556
5	-165.5	68.5	71	0.069	23	0	1	0	4483.795	1	0	21.003	15.78	229	116.104	27.457	-8.6417	6.3583	1.6444	5.8722	-21.8333	81.826	227.111	63.556	117.667	26.806
6	-164.5	60.5	91	0.119	25	0	1	0	6036.884	1	0.5	29.865	15.07	282	45.903	32.23	-0.797	6.9212	2.3	10.0879	-10.8546	86.007	655.879	56.485	301.061	83.727
7	-164.5	61.5	79	0.262	25	0	0	1	5848.153	1	0.5	31.985	20	160	61.014	33.005	-1.3917	7.1917	2.3	10.1722	-12.0806	84.854	586.778	61.139	283.222	74.111
8	-164.5	62.5	88	0.164	25	0	0	1	5657.755	1	0.5	30.448	20	160	42.042	32.233	-2.0139	7.4222	2.2472	10.1611	-13.1889	82.819	525.806	63.944	262	66.528
9	-164.5	64.5	94	0.183	27	0.036	0	1	5272.205	2	0.333	26.725	30	511	91.875	30.745	-4.1857	7.5333	2.1286	9.1381	-15.9333	76.963	404.571	63.524	205.143	51.857
10	-164.5	65.5	90	0.217	28	0	0	1	5077.175	2	0.333	23.707	30	400	177.451	28.535	-5.1528	7.3	1.9972	8.6361	-17.175	79.865	361.5	63.389	184.75	45.972
11	-164.5	68.5	68	0.161	23	0.042	1	0	4483.795	1	0.5	20.685	20	479	181.826	27.62	-8.6111	6.4333	1.6361	6.2778	-21.825	80.639	217.139	66.861	115.806	25.306
12	-163.5	60.5	77	0.306	25	0.039	1	0	6036.884	1	0.5	31.027	14.1	55	24.028	33.867	-0.8056	7.2056	2.2972	10.7028	-11.5556	85.465	603.389	56.583	278.306	74.694
13	-163.5	61.5	78	0.344	25	0.039	1	0	5848.153	2	0	31.968	19.6	45	61	33.495	-1.5056	7.4833	2.2556	10.7583	-12.9444	84.306	514.278	61.639	251.167	63.917
14	-163.5	62.5	87	0.189	25	0.039	0	1	5657.755	2	0	31.703	23.4	165	76.597	32.727	-2.2111	7.6306	2.2056	10.6306	-14.0389	82.556	475.194	64.722	239.722	60.472
15	-163.5	65.5	99	0.132	28	0	1	0	5077.175	2	0.333	23.705	30	400	273.799	28.122	-5.5778	7.3139	1.9583	8.8306	-17.9917	79.57	360.694	65.139	186.139	46.833
16	-163.5	67.5	75	0.239	24	0.077	1	0	4682.909	1	0.667	22.023	22.9	413	151.59	28.302	-7.0412	6.75	1.7088	8.1353	-20.1441	81.09	233.912	68.765	126.882	27.088
17	-163.5	68.5	67	0.295	23	0.115	1	0	4483.795	2	0.5	20.8	21.9	620	366.25	27.043	-9.2111	6.4722	1.6444	6.0139	-22.475	77.097	210.528	68.583	114.5	24.806
18	-162.5	60.5	80	0.31	25	0.138	1	0	6036.884	1	0.667	30.805	20	70	10.014	34.17	-0.9806	7.5306	2.25	11.275	-12.5583	84.785	515.111	57.778	240.889	61.639
19	-162.5	61.5	82	0.287	26	0.103	1	0	5848.153	2	0.5	30.718	22.4	90	63.188	33.767	-1.6944	7.7944	2.2028	11.2944	-13.9583	84	432.361	63.167	215.25	52.389
20	-162.5	62.5	89	0.198	26	0	0	1	5657.755	2	0.333	30.157	30	415	185.347	31.715	-2.75	7.8639	2.2	10.6722	-15.1722	82.674	429.972	66.361	220.778	55.25
21	-162.5	65.5	100	0.138	27	0.036	1	0	5077.175	2	0.333	22.84	30	620	219.111	29.372	-5.4167	7.4028	1.9361	9.5472	-18.4167	80.006	363.083	66.889	187.944	46.639
22	-162.5	67.5	73	0.33	22	0.214	1	0	4682.909	3	0.25	23.438	20.34	435	152.646	29.017	-7.0028	6.8222	1.7	8.6	-20.4556	80.674	223.583	70.528	123.194	25.583
23	-162.5	68.5	64	0.429	25	0.107	1	0	4483.795	2	0.6	21.392	20	670	503.382	26.84	-9.6917	6.5306	1.6306	5.8417	-23.0417	74.91	206.417	69.222	113.444	24.833
24	-162.5	69.5	63	0.212	21	0.16	1	0	4283.44	2	0.333	15.273	16.19	389	100.042	26.523	-9.4167	6.3694	1.6	6.1778	-23.1306	80.514	170.694	72.972	95.917	18.972
25	-161.5	59.5	80	0.313	28	0.067	1	0	6223.887	2	0	32.57	26.13	250	88.729	33.922	-0.575	7.4056	2.3444	10.85	-11.3278	86.194	708.056	52	312.333	87.639
26	-161.5	60.5	85	0.297	28	0.097	1	0	6036.884	2	0.333	30.192	25.5	121	15.66	34.18	-1.1694	7.9	2.25	11.625	-13.4056	84.319	478.028	57.75	224.194	56.083
27	-161.5	61.5	92	0.264	26	0.161	1	0	5848.153	2	0.5	30.595	23.5	240	106.028	34.193	-1.9333	8.1944	2.2	11.6444	-14.925	83.264	403.972	63.889	202.722	48.806
