Cell_ID	Longitude	Latitude	Bird_Richness	Bird_Beta_-_Jaccard	Mammal_Richness	Mammal_Beta_-_Jaccard	Amphibian_Richness	Amphibian_Beta_-_Jaccard	Cell_Area	EcoRegions_Count	EcoRegions_Jaccard	AET	NDVI	Topographical_Range	Topographical_Average	PET	Annual_Mean_Temperature	Mean_Temperature_Diurnal_Range	Isothermality	Mean_Temperature_of_Warmest_Quarter	Mean_Temperature_of_Coldest_Quarter	Mean_Relative_Humidity	Mean_Annual_Precipitation	Precipitation_Seasonality	Precipitation_in_the_Wettest_Quarter	Precipitation_of_Driest_Quarter
28	-161.5	62.5	93	0.238	26	0.161	0	1	5657.755	3	0.25	29.902	30	410	193.528	31.953	-3.1139	8.1833	2.2	10.7806	-16.1667	82.507	404.222	68.083	210.806	52.361
29	-161.5	65.5	111	0.159	27	0.129	1	0	5077.175	3	0.25	22.985	30	325	155.785	30.133	-5.2472	7.5639	1.9306	10.0639	-18.8361	79.744	346.722	69.111	183	44.556
30	-161.5	67.5	92	0.233	26	0.103	1	0	4682.909	4	0.2	25.34	20	655	370.799	27.805	-8.0694	6.9472	1.7167	7.7583	-21.675	78.083	234.222	69.75	127.639	28.778
31	-161.5	68.5	65	0.414	25	0.167	1	0	4483.795	2	0.6	21.758	20	700	587.403	26.12	-10.0111	6.6444	1.6417	5.7639	-23.5139	72.021	206.444	70.167	113.306	25.472
32	-161.5	69.5	59	0.306	22	0.154	1	0	4283.44	2	0.333	15.03	18.2	550	152.042	25.925	-9.7972	6.4528	1.6	5.9528	-23.5917	79.549	170	72.889	95.556	19.361
33	-160.5	59.5	84	0.282	30	0.091	1	0	6223.887	1	0.5	31.988	30	550	315.021	32.875	-1.2417	7.6472	2.3889	10.275	-11.9667	86.479	648.111	49.972	282.667	87.611
34	-160.5	60.5	86	0.323	28	0.176	1	0	6036.884	2	0.333	30.168	29.6	580	227.188	33.112	-2.0306	8.2944	2.3194	10.8417	-14.2944	85.368	520.194	57.389	245.667	69.361
35	-160.5	61.5	93	0.25	28	0.222	1	0	5848.153	3	0.25	31.483	30	240	92.979	34.635	-2.0028	8.7556	2.2528	11.9278	-15.6472	83.042	438.222	64.139	220.306	59.083
36	-160.5	62.5	104	0.188	29	0.147	1	0	5657.755	1	0.75	31.29	30	305	146.236	34.555	-2.725	8.6556	2.2	11.7083	-16.7778	81.785	405.444	66.583	209.056	55.917
37	-160.5	63.5	102	0.244	30	0.091	1	0	5465.752	3	0	27.767	30	530	240.354	31.015	-4.0806	8.2778	2.1306	10.4194	-17.7083	79.868	375.361	72.639	204.694	47.056
38	-160.5	64.5	111	0.234	29	0.121	0	1	5272.205	3	0.25	28.155	30	530	205.993	31.247	-4.7361	7.9889	2.0389	10.2472	-18.5194	79.146	350.972	73.361	192.639	43.583
39	-160.5	65.5	112	0.2	29	0.121	1	0	5077.175	3	0.25	25.35	30	310	173.146	31.253	-5.5111	7.7778	1.9333	10.1417	-19.6944	79.494	320.694	69.75	171.778	41.083
40	-160.5	66.5	117	0.135	26	0.235	1	0	4880.723	3	0.5	27.74	30	470	109.222	31.1	-6.2389	7.5194	1.8361	9.7806	-20.6417	80.285	273.639	68.472	146.25	34.472
41	-160.5	67.5	95	0.228	28	0.176	1	0	4682.909	3	0.4	25.845	26.5	640	440.292	27.297	-8.4444	7.1694	1.75	7.6333	-22.4917	76.139	239.083	68.694	128.306	30.694
42	-160.5	68.5	64	0.423	25	0.242	1	0	4483.795	2	0.6	22.035	20.7	700	648.694	25.27	-10.7556	6.8083	1.6861	5.2167	-24.4361	71.465	212	69.278	114.806	27.583
43	-160.5	69.5	56	0.341	23	0.207	1	0	4283.44	3	0	14.707	19.6	730	288.535	25.488	-10.1111	6.5639	1.6	5.7833	-24.025	77.382	170.528	71.722	94.917	20.333
44	-159.5	56.5	89	0.198	21	0.046	0	1	6773.919	2	0	32.37	25.42	1420	170.374	32.37	1.7741	5.863	2.6111	9.4259	-4.9444	83.826	633.037	34.296	239.259	102.333
45	-159.5	59.5	87	0.243	31	0.114	1	0	6223.887	2	0.333	32.015	28.6	820	395.333	32.555	-1.1917	7.8528	2.4639	10.3222	-11.9	85.833	611.194	47.361	263.694	90.083
46	-159.5	60.5	91	0.266	33	0.057	1	0	6036.884	1	0.667	29.358	23.6	820	578.868	30.12	-3.3639	8.5694	2.3861	9.5139	-15.3722	85.34	551.833	56.417	260.111	82.139
47	-159.5	61.5	100	0.153	32	0.111	1	0	5848.153	3	0	32.32	30	580	157.715	34.375	-2.5806	9.2972	2.2806	11.625	-16.6139	82.278	474.361	66.472	241.944	68.028
48	-159.5	62.5	106	0.159	33	0.083	1	0	5657.755	1	0.75	31.915	30	180	100.118	35.295	-2.7444	9.1472	2.1778	12.3167	-17.6972	80.799	427.028	63.556	215	61.889
49	-159.5	63.5	110	0.191	31	0.088	1	0	5465.752	2	0.333	29.997	30	520	199.313	33.36	-3.8194	8.7306	2.1028	11.5722	-18.6917	79.549	382.25	66.5	198.611	51.75
50	-159.5	64.5	115	0.19	31	0.114	1	0	5272.205	2	0.5	28.07	30	550	458.236	30.902	-5.9028	8.325	2.0111	9.85	-20.5139	76.521	355.889	67.139	186.056	48.194
51	-159.5	65.5	109	0.243	33	0.029	1	0	5077.175	3	0.25	26.46	30	505	259.722	30.418	-6.2639	8.0611	1.9306	9.9528	-21.1667	77.968	316.667	66.083	164.5	42.75
52	-159.5	66.5	103	0.248	30	0.118	1	0	4880.723	3	0.5	27.93	30	340	97.465	31.545	-6.4472	7.8167	1.8528	10.0389	-21.5833	80.035	272.306	65.889	141.694	35.861
53	-159.5	67.5	88	0.307	31	0.114	1	0	4682.909	3	0.4	27.448	29.5	880	514.479	29.392	-8.5917	7.4583	1.7806	7.8361	-23.2444	73.688	241.694	66.361	126.694	32.222
54	-159.5	68.5	64	0.434	28	0.152	1	0	4483.795	2	0.6	22.23	21.5	520	578.16	25.99	-10.55	7.0583	1.7028	5.6889	-24.6611	70.764	211.361	68.056	112.611	28.139
55	-159.5	69.5	55	0.353	23	0.207	1	0	4283.44	2	0.333	14.387	20	600	307.257	25.573	-10.3056	6.7111	1.6278	5.7056	-24.4278	76.583	171.25	70.833	93.861	21
56	-159.5	70.5	51	0.219	18	0.217	1	0	4081.904	1	0.667	11.41	11.34	79	10.754	25.032	-10.6849	6.3727	1.5758	5.1242	-24.8121	82.243	141.788	73.788	79.97	15.97
57	-158.5	56.5	84	0.264	22	0.12	0	1	6773.919	2	0	38.8	29.7	899	186.201	38.8	2.0778	6.05	2.6361	9.825	-4.7778	80.819	547.194	34.444	207.472	88.833
58	-158.5	59.5	100	0.115	33	0.057	1	0	6223.887	2	0.333	34.153	30	580	204.264	34.833	-0.1806	8.0917	2.5028	11.3611	-11.0972	83.208	585.889	44.917	248.556	89.278
59	-158.5	60.5	98	0.19	34	0.056	1	0	6036.884	2	0.333	32.065	28.5	670	298.528	32.907	-2.1694	8.8333	2.4111	10.8278	-14.5889	82.965	546.222	54.917	255.778	81.611
60	-158.5	61.5	102	0.15	33	0.083	1	0	5848.153	2	0.5	32.205	30	1385	343.181	33.72	-2.9667	9.3472	2.3	11.3417	-16.9972	81.514	498.167	61.917	247.5	72.028
61	-158.5	62.5	105	0.146	32	0.111	1	0	5657.755	1	0.75	32.553	30	210	138.583	35.742	-3.0472	9.4028	2.1778	12.3806	-18.3417	80.049	444.361	62.5	222.528	62.278
62	-158.5	63.5	105	0.18	31	0.088	1	0	5465.752	1	0.5	31.58	30	60	100.549	35.675	-3.5056	9.1028	2.0667	12.6611	-19.4444	79.306	392.306	61.611	195.444	54.056
63	-158.5	64.5	108	0.156	32	0.086	1	0	5272.205	2	0.333	29.142	30	445	241.556	33.66	-4.9611	8.7111	1.9806	11.7306	-20.9639	77.75	353	60.722	174.139	49.639
64	-158.5	65.5	109	0.162	33	0.057	1	0	5077.175	1	0.75	27.802	30	325	262.833	31.71	-6.3778	8.4167	1.9028	10.6139	-22.2944	77.032	318.944	60.944	157.111	45.667
65	-158.5	66.5	100	0.206	32	0.059	1	0	4880.723	2	0.667	28.045	30	400	134.424	31.885	-6.6944	8.1889	1.8639	10.3972	-22.6583	79.042	276.806	61.972	138	38.444
66	-158.5	67.5	88	0.241	31	0.114	1	0	4682.909	4	0.333	27.738	26.2	760	421.646	29.913	-8.7111	7.8222	1.8	8.1889	-24.0833	74.618	246.083	63.722	124.972	34.222
67	-158.5	68.5	67	0.391	28	0.176	1	0	4483.795	2	0.667	21.657	20	610	540.125	25.733	-10.8611	7.3556	1.7194	5.6917	-25.4556	72.389	216.056	66.444	112.333	29.861
68	-158.5	69.5	55	0.409	23	0.207	1	0	4283.44	2	0.333	14.13	20	445	213.16	25.14	-10.5889	6.9167	1.6611	5.5833	-25.0028	80.264	172.861	69.389	92.972	21.861
69	-158.5	70.5	50	0.324	21	0.16	1	0	4081.904	2	0	11.232	8.22	64	16.674	24.935	-10.9281	6.4719	1.6	4.8656	-25.1406	85.507	141.406	72.719	78.688	16.375
70	-157.5	57.5	84	0.16	25	0.107	0	1	6592.466	2	0	38.35	30	633	91.292	38.353	1.9333	7.1091	2.7242	10.7394	-6.3303	81.569	547.576	34.242	208.061	88.121
71	-157.5	59.5	100	0.153	34	0.056	1	0	6223.887	2	0.333	35.608	30	60	91.139	36.52	0.0556	8.5528	2.5667	11.6944	-11.1583	81	545.139	46.694	237.083	80.778
72	-157.5	60.5	102	0.197	34	0.056	1	0	6036.884	3	0	32.785	30	280	208.993	33.54	-1.5333	9.0611	2.4444	11.4722	-14.1528	81.944	544.111	54.306	254.806	79.722
73	-157.5	61.5	105	0.103	34	0.056	1	0	5848.153	2	0.5	31.933	30	820	271.556	32.84	-2.4361	9.5028	2.3278	11.9889	-16.6889	80.819	512.861	59.111	250.806	71.944
74	-157.5	62.5	109	0.076	32	0.111	1	0	5657.755	2	0.333	32.462	30	535	276.979	34.657	-3.6306	9.6333	2.1944	12.0722	-19.1667	78.868	469.861	60.111	231.472	63.806
75	-157.5	63.5	104	0.133	30	0.189	1	0	5465.752	1	0.5	31.913	30	210	132.59	36.197	-3.7278	9.4528	2.0583	13.0778	-20.4139	77.556	408.528	57.444	196.389	55.917
76	-157.5	64.5	108	0.115	31	0.139	1	0	5272.205	1	0.5	28.942	30	460	179.479	33.822	-4.875	9.0306	1.9333	12.6778	-21.9444	76.556	361.056	54.778	167.056	53
77	-157.5	65.5	108	0.115	31	0.114	1	0	5077.175	1	0.667	29.07	30	320	128.028	34.542	-5.6722	8.8333	1.9	12.1611	-22.8278	77.609	321.583	55.389	149.111	48.028
78	-157.5	66.5	100	0.18	32	0.111	1	0	4880.723	3	0.4	27.867	30	430	244.472	31.172	-7.2917	8.6583	1.8917	10.4417	-24.0167	76.993	290.806	58.583	139.222	42.833
79	-157.5	67.5	89	0.258	31	0.139	1	0	4682.909	5	0	26.855	25.2	760	497.639	29.128	-9.3194	8.3028	1.8333	8.1167	-25.3361	71.896	258.25	61.694	127.417	37.417
80	-157.5	68.5	66	0.377	29	0.147	1	0	4483.795	2	0.667	21.058	20	570	618.153	25.777	-11.15	7.8028	1.7778	5.8417	-26.3472	69.396	222.056	64.889	112.778	31.472
81	-157.5	69.5	53	0.436	25	0.194	1	0	4283.44	1	0.667	13.915	19.8	370	198.403	25.18	-10.8556	7.2444	1.6944	5.5806	-25.675	81.049	175.528	67	92.333	22.75
82	-157.5	70.5	61	0.197	21	0.16	1	0	4081.904	2	0	11.047	5.36	91	29.542	24.878	-11.2361	6.575	1.6028	4.5472	-25.5806	86.611	138.806	71.75	76.278	16.333
83	-156.5	57.5	96	0.188	28	0.097	0	1	6592.466	2	0	37.183	30	650	162.97	37.203	1.8151	7.3667	2.803	10.6454	-6.4182	78.417	630.697	29.515	229.394	108.03
84	-156.5	59.5	105	0.192	35	0.079	1	0	6223.887	1	0.8	35.292	30	310	128.229	36.377	0.2389	8.725	2.6167	11.725	-10.9139	80.764	556.833	47.167	242.139	81.556
85	-156.5	60.5	99	0.261	34	0.105	1	0	6036.884	2	0.6	32.86	30	250	242.493	33.59	-1.2528	9.175	2.4917	11.5611	-13.7361	81.535	564.611	54.528	265.111	80.778
86	-156.5	61.5	109	0.107	34	0.105	1	0	5848.153	1	0.8	33.145	30	240	138.035	34.205	-1.8833	9.7778	2.3694	12.5139	-16.2806	80.382	532.611	58.806	259.444	72.278
87	-156.5	62.5	111	0.059	33	0.083	1	0	5657.755	2	0.5	32.388	30	430	325.861	34.33	-3.5917	10.0556	2.2417	12.325	-19.5194	77.799	489.417	59.5	240.389	62.278
88	-156.5	63.5	109	0.076	31	0.139	1	0	5465.752	2	0.333	31.235	30	490	262.049	35.278	-4.375	9.9361	2.0833	12.8278	-21.5389	75.688	428.722	56.333	203.75	56.667
89	-156.5	64.5	109	0.099	30	0.118	1	0	5272.205	1	0.5	29.832	30	400	175.021	35.845	-5.0083	9.5806	1.9667	13.1028	-22.8278	75.229	375.333	52.861	169.861	55.639
90	-156.5	65.5	107	0.108	32	0.111	1	0	5077.175	1	0.667	29.517	30	180	78.535	35.977	-5.7083	9.4639	1.9306	12.7222	-23.6861	77.09	339.444	53.417	153.861	51.861
91	-156.5	66.5	107	0.108	31	0.139	1	0	4880.723	3	0.4	28.017	30	805	291.84	32.235	-7.7722	9.3167	1.9139	10.5444	-25.225	75.09	312.194	57.139	146.278	47.556
92	-156.5	67.5	90	0.25	30	0.189	1	0	4682.909	4	0.2	26.535	23.5	860	687.556	30.067	-10.6667	8.9278	1.9028	7.3222	-27.1194	66.5	280.056	61.028	135.361	42.25
93	-156.5	68.5	64	0.396	31	0.061	1	0	4483.795	2	0.667	20.165	20	610	582.493	25.995	-11.3472	8.4028	1.8194	6.2444	-27.3139	69.729	229.806	63.778	114.528	32.861
94	-156.5	69.5	54	0.443	24	0.226	1	0	4283.44	1	0.667	13.775	19	325	178.014	25.198	-11.0639	7.7528	1.7417	5.9333	-26.5861	82.014	178.361	66.833	92.306	22.861
95	-156.5	70.5	63	0.208	21	0.16	1	0	4081.904	2	0	11.018	2.83	70	40.986	24.915	-11.525	6.9444	1.6361	4.6583	-26.35	86.174	139.417	71.583	75.444	15.75
96	-155.5	58.5	103	0.231	31	0.162	0	1	6409.102	2	0.5	33.13	27.07	1725	513.826	33.56	0.4639	7.9056	2.7972	10.0222	-8.25	83.958	745.111	28.833	269.806	133.5
97	-155.5	59.5	114	0.168	36	0.053	0	1	6223.887	3	0.25	34.032	29.44	590	179.458	35.02	0.4889	8.3083	2.6472	11.3	-9.7833	81.208	652.194	43.167	271.444	101.056
98	-155.5	60.5	105	0.245	36	0.053	0	1	6036.884	3	0.25	32.555	30	490	305.66	33.292	-1.1194	9.2417	2.5944	11.175	-12.9222	81.986	581.139	55.056	271.667	80.833
99	-155.5	61.5	109	0.174	35	0.054	1	0	5848.153	2	0.5	32.752	30	565	300.75	33.765	-2.1917	10.1306	2.4806	11.8778	-16.0833	81.25	537.861	60.222	262.694	70.5
100	-155.5	62.5	110	0.083	35	0.054	1	0	5657.755	2	0.333	32.27	30	490	245.951	35.14	-3.2278	10.5667	2.3083	12.6778	-19.3333	78.146	469.528	59.778	229.778	57.667
101	-155.5	63.5	112	0.051	31	0.139	1	0	5465.752	2	0.333	30.418	30	490	301.111	34.77	-4.5417	10.5139	2.1639	12.7611	-21.9361	75.083	421.389	57.833	201.528	55.056
102	-155.5	64.5	109	0.107	32	0.111	1	0	5272.205	2	0	30.677	30	520	237.611	36.782	-5.2944	10.3306	2.0694	12.9111	-23.35	74.451	391.25	56.861	183.806	56.639
103	-155.5	65.5	111	0.083	31	0.114	1	0	5077.175	2	0.333	29.383	30	415	190.382	35.922	-6.3361	10.3	2.0278	12.3667	-24.6806	75.019	372.167	55.917	172.639	57.083
104	-155.5	66.5	109	0.107	31	0.114	1	0	4880.723	2	0.6	28.078	30	750	308.292	34.828	-7.8722	10.2139	2.0083	10.9861	-26.0611	74.528	340.444	57.139	158.833	52.333
105	-155.5	67.5	90	0.262	30	0.167	1	0	4682.909	3	0.4	23.652	23	580	908.542	25.66	-12.0111	9.675	1.975	6.5333	-28.8667	59.076	305.139	61.722	146.306	46.472
106	-155.5	68.5	66	0.4	30	0.091	1	0	4483.795	2	0.6	19.31	20	1070	669.007	24.942	-12.225	9.1222	1.8833	6.0639	-28.8639	66.993	242.028	63.944	119.111	34.556
107	-155.5	69.5	57	0.406	24	0.226	1	0	4283.44	2	0.333	13.697	18.3	310	151.333	25.545	-11.2556	8.4417	1.7694	6.6028	-27.7889	80.889	181.028	66.944	92.333	22.528
108	-155.5	70.5	60	0.21	21	0.16	1	0	4081.904	2	0	11.18	2.58	70	24.75	24.968	-11.8833	7.65	1.6722	5.3167	-27.75	85.16	141.139	71.972	75.528	15.278
109	-154.5	58.5	112	0.2	32	0.135	0	1	6409.102	2	0.5	33.362	18.13	1393	549.365	33.47	0.6086	7.8114	2.9114	9.5171	-7.1343	83.847	951.657	21.143	315.943	187.971
110	-154.5	59.5	115	0.179	36	0.053	0	1	6223.887	4	0.2	34.377	26.18	620	190.778	35.36	0.8306	8.8944	2.8667	11.0028	-8.5472	81.493	777.528	31.917	290.694	138.111
111	-154.5	60.5	114	0.168	36	0.053	0	1	6036.884	2	0.6	32.432	28.5	850	512.118	33.35	-1.2583	9.9028	2.825	10.4111	-12.0667	82.91	539.222	49.833	238.25	75.306
112	-154.5	61.5	111	0.201	35	0.054	1	0	5848.153	2	0.5	28.413	25.4	1310	731.694	29.108	-3.4306	10.3639	2.6417	9.9444	-16.0389	82.083	494.778	60.028	238.833	64.25
113	-154.5	62.5	110	0.154	35	0.079	1	0	5657.755	2	0.5	31.735	27.5	1400	420.389	33.792	-3.7333	10.7639	2.4333	11.5889	-18.8611	79.493	433.75	68.861	224.722	48.556
114	-154.5	63.5	113	0.074	34	0.081	1	0	5465.752	2	0.333	30.332	30	490	371.243	35.093	-4.4861	10.7306	2.2389	12.4972	-21.3917	77.069	398.583	67.667	204	47.167
115	-154.5	64.5	111	0.098	33	0.083	1	0	5272.205	2	0	29.925	30	400	169.306	36.71	-4.9694	10.775	2.1278	13.1944	-23.1	77.09	391.944	62.5	191.694	52.806
116	-154.5	65.5	113	0.074	31	0.114	1	0	5077.175	2	0	28.42	30	805	399.243	34.685	-7.0917	11.0306	2.1278	11.7833	-25.5083	73.718	410.528	59.444	195.194	60.944
117	-154.5	66.5	111	0.083	31	0.162	1	0	4880.723	2	0.333	27.49	30	610	301.625	34.042	-8.0083	11.2361	2.1222	11.3417	-26.7889	73.694	378.694	57.5	176.528	57.722
118	-154.5	67.5	95	0.215	31	0.139	1	0	4682.909	3	0.25	23.413	22.3	1180	959.847	26.063	-12.1361	10.5722	2.05	7.0472	-29.7139	57.632	319.528	61.25	152.583	48.083
119	-154.5	68.5	68	0.409	29	0.147	1	0	4483.795	2	0.6	18.503	20	1250	754.035	24.58	-12.6806	9.8861	1.9333	6.4111	-30.1472	63.826	246.75	65.139	121.167	34.306
120	-154.5	69.5	56	0.423	25	0.167	1	0	4283.44	2	0.333	13.645	18	302	150.41	25.765	-11.525	9.1722	1.8083	7.3194	-29.1472	78.104	180.028	68.611	90.889	21.167
121	-154.5	70.5	60	0.178	21	0.16	1	0	4081.904	2	0	11.422	4.25	70	30.347	25.035	-12.203	8.3727	1.7	6.1182	-29.203	80.771	141.394	74	74.849	14.758
122	-153.5	60.5	123	0.128	35	0.054	1	0	6036.884	3	0.5	28.28	15.3	1530	798.736	28.762	-2.6806	9.4556	2.9194	8.2333	-11.9889	85.521	631.806	34.472	238.083	102.444
123	-153.5	61.5	118	0.186	34	0.081	1	0	5848.153	3	0.25	27.005	10.5	1370	1430.264	27.817	-5.1472	10.0167	2.7472	7.4056	-16.0083	84.299	515.417	47.25	222.139	76.639
124	-153.5	62.5	110	0.173	36	0.053	1	0	5657.755	2	0.6	29.555	18.6	1370	763.847	30.863	-4.5917	10.5833	2.5333	9.9861	-18.2972	80.125	416	65.528	211.917	51.417
125	-153.5	63.5	116	0.079	36	0.027	1	0	5465.752	2	0.6	29.44	30	460	330.764	34.938	-4.0111	10.4583	2.2444	12.6194	-20.3639	78.542	372.167	71.694	198	42.167
126	-153.5	64.5	113	0.089	34	0.056	1	0	5272.205	2	0.333	27.907	30	370	257.521	35.675	-5.0722	10.6667	2.1361	12.9639	-22.8583	77.236	374.167	68.167	190.972	47.528
127	-153.5	65.5	111	0.105	33	0.057	1	0	5077.175	2	0	27.38	30	715	421.368	33.935	-6.8056	11.5722	2.2056	12.2	-25.4028	74.173	412.722	61.278	198.917	59.222
128	-153.5	66.5	110	0.106	31	0.184	1	0	4880.723	2	0.333	27.105	30	760	354.389	33.778	-8.1472	12.3639	2.2417	11.6194	-27.3917	73.368	388.472	57.194	179.972	56.083
129	-153.5	67.5	99	0.195	32	0.135	1	0	4682.909	3	0.25	24.247	24.4	1120	959.222	30.587	-11.5417	11.4694	2.1278	8.2278	-29.9083	56.382	315.583	60.389	149.306	44.194
130	-153.5	68.5	71	0.398	29	0.147	1	0	4483.795	2	0.6	18.17	20	1295	797.868	25.135	-12.8639	10.5	1.95	6.9444	-31.05	61.951	242.028	65.528	119.389	31.889
131	-153.5	69.5	59	0.398	25	0.138	1	0	4283.44	2	0.333	13.51	17.2	225	137.757	25.745	-11.9528	9.7667	1.8083	7.8639	-30.6056	75.389	173.139	71.5	87.306	19.222
132	-153.5	70.5	51	0.311	22	0.12	1	0	4081.904	1	0.5	11.697	2.8	65	23.278	25.203	-12.6111	8.9528	1.7	6.7167	-30.6306	81.007	135.75	77.056	71.806	13.306
133	-152.5	60.5	128	0.134	35	0	1	0	6036.884	3	0.25	31.553	15.37	1416	494.424	33.547	-0.2871	8.8097	2.8516	10.1484	-9.4484	77.09	723.516	32.71	266.193	115.968
