Cell_ID	Longitude	Latitude	Bird_Richness	Bird_Beta_-_Jaccard	Mammal_Richness	Mammal_Beta_-_Jaccard	Amphibian_Richness	Amphibian_Beta_-_Jaccard	Cell_Area	EcoRegions_Count	EcoRegions_Jaccard	AET	NDVI	Topographical_Range	Topographical_Average	PET	Annual_Mean_Temperature	Mean_Temperature_Diurnal_Range	Isothermality	Mean_Temperature_of_Warmest_Quarter	Mean_Temperature_of_Coldest_Quarter	Mean_Relative_Humidity	Mean_Annual_Precipitation	Precipitation_Seasonality	Precipitation_in_the_Wettest_Quarter	Precipitation_of_Driest_Quarter
61	-158.5	62.5	105	0.146	32	0.111	1	0	5657.755	1	0.75	32.553	7	210	138.583	35.742	-30.472	94.028	21.778	123.806	-183.417	80.049	444.361	62.5	222.528	62.278
62	-158.5	63.5	105	0.18	31	0.088	1	0	5465.752	1	0.5	31.58	7	60	100.549	35.675	-35.056	91.028	20.667	126.611	-194.444	79.306	392.306	61.611	195.444	54.056
63	-158.5	64.5	108	0.156	32	0.086	1	0	5272.205	2	0.333	29.142	7	445	241.556	33.66	-49.611	87.111	19.806	117.306	-209.639	77.75	353	60.722	174.139	49.639
64	-158.5	65.5	109	0.162	33	0.057	1	0	5077.175	1	0.75	27.802	7	325	262.833	31.71	-63.778	84.167	19.028	106.139	-222.944	77.032	318.944	60.944	157.111	45.667
65	-158.5	66.5	100	0.206	32	0.059	1	0	4880.723	2	0.667	28.045	7	400	134.424	31.885	-66.944	81.889	18.639	103.972	-226.583	79.042	276.806	61.972	138	38.444
66	-158.5	67.5	88	0.241	31	0.114	1	0	4682.909	4	0.333	27.738	7.38	760	421.646	29.913	-87.111	78.222	18	81.889	-240.833	74.618	246.083	63.722	124.972	34.222
67	-158.5	68.5	67	0.391	28	0.176	1	0	4483.795	2	0.667	21.657	8	610	540.125	25.733	-108.611	73.556	17.194	56.917	-254.556	72.389	216.056	66.444	112.333	29.861
68	-158.5	69.5	55	0.409	23	0.207	1	0	4283.44	2	0.333	14.13	8	445	213.16	25.14	-105.889	69.167	16.611	55.833	-250.028	80.264	172.861	69.389	92.972	21.861
69	-158.5	70.5	50	0.324	21	0.16	1	0	4081.904	2	0	11.232	9.178	64	16.674	24.935	-109.281	64.719	16	48.656	-251.406	85.507	141.406	72.719	78.688	16.375
70	-157.5	57.5	84	0.16	25	0.107	0	1	6592.466	2	0	38.35	7	633	91.292	38.353	19.333	71.091	27.242	107.394	-63.303	81.569	547.576	34.242	208.061	88.121
71	-157.5	59.5	100	0.153	34	0.056	1	0	6223.887	2	0.333	35.608	7	60	91.139	36.52	0.556	85.528	25.667	116.944	-111.583	81	545.139	46.694	237.083	80.778
72	-157.5	60.5	102	0.197	34	0.056	1	0	6036.884	3	0	32.785	7	280	208.993	33.54	-15.333	90.611	24.444	114.722	-141.528	81.944	544.111	54.306	254.806	79.722
73	-157.5	61.5	105	0.103	34	0.056	1	0	5848.153	2	0.5	31.933	7	820	271.556	32.84	-24.361	95.028	23.278	119.889	-166.889	80.819	512.861	59.111	250.806	71.944
74	-157.5	62.5	109	0.076	32	0.111	1	0	5657.755	2	0.333	32.462	7	535	276.979	34.657	-36.306	96.333	21.944	120.722	-191.667	78.868	469.861	60.111	231.472	63.806
75	-157.5	63.5	104	0.133	30	0.189	1	0	5465.752	1	0.5	31.913	7	210	132.59	36.197	-37.278	94.528	20.583	130.778	-204.139	77.556	408.528	57.444	196.389	55.917
76	-157.5	64.5	108	0.115	31	0.139	1	0	5272.205	1	0.5	28.942	7	460	179.479	33.822	-48.75	90.306	19.333	126.778	-219.444	76.556	361.056	54.778	167.056	53
77	-157.5	65.5	108	0.115	31	0.114	1	0	5077.175	1	0.667	29.07	7	320	128.028	34.542	-56.722	88.333	19	121.611	-228.278	77.609	321.583	55.389	149.111	48.028
78	-157.5	66.5	100	0.18	32	0.111	1	0	4880.723	3	0.4	27.867	7	430	244.472	31.172	-72.917	86.583	18.917	104.417	-240.167	76.993	290.806	58.583	139.222	42.833
79	-157.5	67.5	89	0.258	31	0.139	1	0	4682.909	5	0	26.855	7.48	760	497.639	29.128	-93.194	83.028	18.333	81.167	-253.361	71.896	258.25	61.694	127.417	37.417
80	-157.5	68.5	66	0.377	29	0.147	1	0	4483.795	2	0.667	21.058	8	570	618.153	25.777	-111.5	78.028	17.778	58.417	-263.472	69.396	222.056	64.889	112.778	31.472
81	-157.5	69.5	53	0.436	25	0.194	1	0	4283.44	1	0.667	13.915	8.02	370	198.403	25.18	-108.556	72.444	16.944	55.806	-256.75	81.049	175.528	67	92.333	22.75
82	-157.5	70.5	61	0.197	21	0.16	1	0	4081.904	2	0	11.047	9.464	91	29.542	24.878	-112.361	65.75	16.028	45.472	-255.806	86.611	138.806	71.75	76.278	16.333
83	-156.5	57.5	96	0.188	28	0.097	0	1	6592.466	2	0	37.183	7	650	162.97	37.203	18.151	73.667	28.03	106.454	-64.182	78.417	630.697	29.515	229.394	108.03
84	-156.5	59.5	105	0.192	35	0.079	1	0	6223.887	1	0.8	35.292	7	310	128.229	36.377	2.389	87.25	26.167	117.25	-109.139	80.764	556.833	47.167	242.139	81.556
85	-156.5	60.5	99	0.261	34	0.105	1	0	6036.884	2	0.6	32.86	7	250	242.493	33.59	-12.528	91.75	24.917	115.611	-137.361	81.535	564.611	54.528	265.111	80.778
86	-156.5	61.5	109	0.107	34	0.105	1	0	5848.153	1	0.8	33.145	7	240	138.035	34.205	-18.833	97.778	23.694	125.139	-162.806	80.382	532.611	58.806	259.444	72.278
87	-156.5	62.5	111	0.059	33	0.083	1	0	5657.755	2	0.5	32.388	7	430	325.861	34.33	-35.917	100.556	22.417	123.25	-195.194	77.799	489.417	59.5	240.389	62.278
88	-156.5	63.5	109	0.076	31	0.139	1	0	5465.752	2	0.333	31.235	7	490	262.049	35.278	-43.75	99.361	20.833	128.278	-215.389	75.688	428.722	56.333	203.75	56.667
89	-156.5	64.5	109	0.099	30	0.118	1	0	5272.205	1	0.5	29.832	7	400	175.021	35.845	-50.083	95.806	19.667	131.028	-228.278	75.229	375.333	52.861	169.861	55.639
90	-156.5	65.5	107	0.108	32	0.111	1	0	5077.175	1	0.667	29.517	7	180	78.535	35.977	-57.083	94.639	19.306	127.222	-236.861	77.09	339.444	53.417	153.861	51.861
91	-156.5	66.5	107	0.108	31	0.139	1	0	4880.723	3	0.4	28.017	7	805	291.84	32.235	-77.722	93.167	19.139	105.444	-252.25	75.09	312.194	57.139	146.278	47.556
92	-156.5	67.5	90	0.25	30	0.189	1	0	4682.909	4	0.2	26.535	7.65	860	687.556	30.067	-106.667	89.278	19.028	73.222	-271.194	66.5	280.056	61.028	135.361	42.25
93	-156.5	68.5	64	0.396	31	0.061	1	0	4483.795	2	0.667	20.165	8	610	582.493	25.995	-113.472	84.028	18.194	62.444	-273.139	69.729	229.806	63.778	114.528	32.861
94	-156.5	69.5	54	0.443	24	0.226	1	0	4283.44	1	0.667	13.775	8.1	325	178.014	25.198	-110.639	77.528	17.417	59.333	-265.861	82.014	178.361	66.833	92.306	22.861
95	-156.5	70.5	63	0.208	21	0.16	1	0	4081.904	2	0	11.018	9.717	70	40.986	24.915	-115.25	69.444	16.361	46.583	-263.5	86.174	139.417	71.583	75.444	15.75
96	-155.5	58.5	103	0.231	31	0.162	0	1	6409.102	2	0.5	33.13	7.293	1725	513.826	33.56	4.639	79.056	27.972	100.222	-82.5	83.958	745.111	28.833	269.806	133.5
97	-155.5	59.5	114	0.168	36	0.053	0	1	6223.887	3	0.25	34.032	7.056	590	179.458	35.02	4.889	83.083	26.472	113	-97.833	81.208	652.194	43.167	271.444	101.056
98	-155.5	60.5	105	0.245	36	0.053	0	1	6036.884	3	0.25	32.555	7	490	305.66	33.292	-11.194	92.417	25.944	111.75	-129.222	81.986	581.139	55.056	271.667	80.833
99	-155.5	61.5	109	0.174	35	0.054	1	0	5848.153	2	0.5	32.752	7	565	300.75	33.765	-21.917	101.306	24.806	118.778	-160.833	81.25	537.861	60.222	262.694	70.5
100	-155.5	62.5	110	0.083	35	0.054	1	0	5657.755	2	0.333	32.27	7	490	245.951	35.14	-32.278	105.667	23.083	126.778	-193.333	78.146	469.528	59.778	229.778	57.667
101	-155.5	63.5	112	0.051	31	0.139	1	0	5465.752	2	0.333	30.418	7	490	301.111	34.77	-45.417	105.139	21.639	127.611	-219.361	75.083	421.389	57.833	201.528	55.056
102	-155.5	64.5	109	0.107	32	0.111	1	0	5272.205	2	0	30.677	7	520	237.611	36.782	-52.944	103.306	20.694	129.111	-233.5	74.451	391.25	56.861	183.806	56.639
103	-155.5	65.5	111	0.083	31	0.114	1	0	5077.175	2	0.333	29.383	7	415	190.382	35.922	-63.361	103	20.278	123.667	-246.806	75.019	372.167	55.917	172.639	57.083
104	-155.5	66.5	109	0.107	31	0.114	1	0	4880.723	2	0.6	28.078	7	750	308.292	34.828	-78.722	102.139	20.083	109.861	-260.611	74.528	340.444	57.139	158.833	52.333
105	-155.5	67.5	90	0.262	30	0.167	1	0	4682.909	3	0.4	23.652	7.7	580	908.542	25.66	-120.111	96.75	19.75	65.333	-288.667	59.076	305.139	61.722	146.306	46.472
106	-155.5	68.5	66	0.4	30	0.091	1	0	4483.795	2	0.6	19.31	8	1070	669.007	24.942	-122.25	91.222	18.833	60.639	-288.639	66.993	242.028	63.944	119.111	34.556
107	-155.5	69.5	57	0.406	24	0.226	1	0	4283.44	2	0.333	13.697	8.17	310	151.333	25.545	-112.556	84.417	17.694	66.028	-277.889	80.889	181.028	66.944	92.333	22.528
108	-155.5	70.5	60	0.21	21	0.16	1	0	4081.904	2	0	11.18	9.742	70	24.75	24.968	-118.833	76.5	16.722	53.167	-277.5	85.16	141.139	71.972	75.528	15.278
109	-154.5	58.5	112	0.2	32	0.135	0	1	6409.102	2	0.5	33.362	8.187	1393	549.365	33.47	6.086	78.114	29.114	95.171	-71.343	83.847	951.657	21.143	315.943	187.971
110	-154.5	59.5	115	0.179	36	0.053	0	1	6223.887	4	0.2	34.377	7.382	620	190.778	35.36	8.306	88.944	28.667	110.028	-85.472	81.493	777.528	31.917	290.694	138.111
111	-154.5	60.5	114	0.168	36	0.053	0	1	6036.884	2	0.6	32.432	7.15	850	512.118	33.35	-12.583	99.028	28.25	104.111	-120.667	82.91	539.222	49.833	238.25	75.306
112	-154.5	61.5	111	0.201	35	0.054	1	0	5848.153	2	0.5	28.413	7.46	1310	731.694	29.108	-34.306	103.639	26.417	99.444	-160.389	82.083	494.778	60.028	238.833	64.25
113	-154.5	62.5	110	0.154	35	0.079	1	0	5657.755	2	0.5	31.735	7.25	1400	420.389	33.792	-37.333	107.639	24.333	115.889	-188.611	79.493	433.75	68.861	224.722	48.556
114	-154.5	63.5	113	0.074	34	0.081	1	0	5465.752	2	0.333	30.332	7	490	371.243	35.093	-44.861	107.306	22.389	124.972	-213.917	77.069	398.583	67.667	204	47.167
115	-154.5	64.5	111	0.098	33	0.083	1	0	5272.205	2	0	29.925	7	400	169.306	36.71	-49.694	107.75	21.278	131.944	-231	77.09	391.944	62.5	191.694	52.806
116	-154.5	65.5	113	0.074	31	0.114	1	0	5077.175	2	0	28.42	7	805	399.243	34.685	-70.917	110.306	21.278	117.833	-255.083	73.718	410.528	59.444	195.194	60.944
117	-154.5	66.5	111	0.083	31	0.162	1	0	4880.723	2	0.333	27.49	7	610	301.625	34.042	-80.083	112.361	21.222	113.417	-267.889	73.694	378.694	57.5	176.528	57.722
118	-154.5	67.5	95	0.215	31	0.139	1	0	4682.909	3	0.25	23.413	7.77	1180	959.847	26.063	-121.361	105.722	20.5	70.472	-297.139	57.632	319.528	61.25	152.583	48.083
119	-154.5	68.5	68	0.409	29	0.147	1	0	4483.795	2	0.6	18.503	8	1250	754.035	24.58	-126.806	98.861	19.333	64.111	-301.472	63.826	246.75	65.139	121.167	34.306
120	-154.5	69.5	56	0.423	25	0.167	1	0	4283.44	2	0.333	13.645	8.2	302	150.41	25.765	-115.25	91.722	18.083	73.194	-291.472	78.104	180.028	68.611	90.889	21.167
121	-154.5	70.5	60	0.178	21	0.16	1	0	4081.904	2	0	11.422	9.575	70	30.347	25.035	-122.03	83.727	17	61.182	-292.03	80.771	141.394	74	74.849	14.758
122	-153.5	60.5	123	0.128	35	0.054	1	0	6036.884	3	0.5	28.28	8.47	1530	798.736	28.762	-26.806	94.556	29.194	82.333	-119.889	85.521	631.806	34.472	238.083	102.444
123	-153.5	61.5	118	0.186	34	0.081	1	0	5848.153	3	0.25	27.005	8.95	1370	1430.264	27.817	-51.472	100.167	27.472	74.056	-160.083	84.299	515.417	47.25	222.139	76.639
124	-153.5	62.5	110	0.173	36	0.053	1	0	5657.755	2	0.6	29.555	8.14	1370	763.847	30.863	-45.917	105.833	25.333	99.861	-182.972	80.125	416	65.528	211.917	51.417
125	-153.5	63.5	116	0.079	36	0.027	1	0	5465.752	2	0.6	29.44	7	460	330.764	34.938	-40.111	104.583	22.444	126.194	-203.639	78.542	372.167	71.694	198	42.167
126	-153.5	64.5	113	0.089	34	0.056	1	0	5272.205	2	0.333	27.907	7	370	257.521	35.675	-50.722	106.667	21.361	129.639	-228.583	77.236	374.167	68.167	190.972	47.528
127	-153.5	65.5	111	0.105	33	0.057	1	0	5077.175	2	0	27.38	7	715	421.368	33.935	-68.056	115.722	22.056	122	-254.028	74.173	412.722	61.278	198.917	59.222
128	-153.5	66.5	110	0.106	31	0.184	1	0	4880.723	2	0.333	27.105	7	760	354.389	33.778	-81.472	123.639	22.417	116.194	-273.917	73.368	388.472	57.194	179.972	56.083
129	-153.5	67.5	99	0.195	32	0.135	1	0	4682.909	3	0.25	24.247	7.56	1120	959.222	30.587	-115.417	114.694	21.278	82.278	-299.083	56.382	315.583	60.389	149.306	44.194
130	-153.5	68.5	71	0.398	29	0.147	1	0	4483.795	2	0.6	18.17	8	1295	797.868	25.135	-128.639	105	19.5	69.444	-310.5	61.951	242.028	65.528	119.389	31.889
131	-153.5	69.5	59	0.398	25	0.138	1	0	4283.44	2	0.333	13.51	8.28	225	137.757	25.745	-119.528	97.667	18.083	78.639	-306.056	75.389	173.139	71.5	87.306	19.222
132	-153.5	70.5	51	0.311	22	0.12	1	0	4081.904	1	0.5	11.697	9.72	65	23.278	25.203	-126.111	89.528	17	67.167	-306.306	81.007	135.75	77.056	71.806	13.306
133	-152.5	60.5	128	0.134	35	0	1	0	6036.884	3	0.25	31.553	8.463	1416	494.424	33.547	-2.871	88.097	28.516	101.484	-94.484	77.09	723.516	32.71	266.193	115.968
134	-152.5	61.5	116	0.194	35	0.079	1	0	5848.153	3	0.25	27.885	8.77	2280	1357.708	29.098	-44.361	96.528	27.611	76.111	-147.028	85.16	562.111	36.861	217.583	85.861
135	-152.5	62.5	113	0.236	34	0.105	1	0	5657.755	4	0.2	27.648	8.18	1760	990.194	28.872	-49.972	102.028	25.611	90.222	-176.111	80.778	445.472	49.778	196.25	62.528
136	-152.5	63.5	117	0.1	36	0.027	1	0	5465.752	2	0.6	28.363	7.16	370	339.764	35.388	-36.028	97.278	21.556	128.083	-194.722	78.778	366.333	67.111	187.028	44.111
137	-152.5	64.5	114	0.095	34	0.056	1	0	5272.205	2	0.5	26.445	7	490	308.91	35.258	-47.556	101.278	20.75	130.944	-221.833	76.528	343.278	70.917	180.417	40.25
138	-152.5	65.5	112	0.118	34	0.029	1	0	5077.175	2	0	26.172	7	670	365.75	33.76	-61.278	115.028	22	126.778	-245.722	74.859	353.722	62.778	173.889	44.889
139	-152.5	66.5	110	0.134	32	0.158	1	0	4880.723	2	0.333	26.587	7	625	341.861	33.895	-73.333	127.194	22.889	124.806	-266.028	74.222	340.944	55.833	156.417	41.694
