Cell_ID	Longitude	Latitude	Bird_Richness	Bird_Beta_-_Jaccard	Mammal_Richness	Mammal_Beta_-_Jaccard	Amphibian_Richness	Amphibian_Beta_-_Jaccard	Cell_Area	EcoRegions_Count	EcoRegions_Jaccard	AET	NDVI	Topographical_Range	Topographical_Average	PET	Annual_Mean_Temperature	Mean_Temperature_Diurnal_Range	Isothermality	Mean_Temperature_of_Warmest_Quarter	Mean_Temperature_of_Coldest_Quarter	Mean_Relative_Humidity	Mean_Annual_Precipitation	Precipitation_Seasonality	Precipitation_in_the_Wettest_Quarter	Precipitation_of_Driest_Quarter
1	-166.5	65.5	90	0.136	26	0.071	0	1	5077.175	2	0	22.62	8.153	310	109.056	28.71	-53.829	68.114	19.2	74.686	-172	82.25	390.6	61.743	194.943	50.971
2	-165.5	61.5	93	0.089	25	0	0	1	5848.153	1	0	31.157	8.742	250	42.806	32.167	-14.471	69.353	23	95.147	-115.265	85	640.382	62.029	308.912	82.294
3	-165.5	64.5	95	0.12	27	0.036	0	1	5272.205	1	0.5	26.365	7.75	724	128.111	29.645	-44.571	74.333	21.619	82.762	-157.238	76.407	414.381	61.619	207.81	53.048
4	-165.5	65.5	92	0.148	27	0.036	0	1	5077.175	2	0	23.087	7.413	460	157.972	29.06	-51.444	71.694	20.167	80.778	-168.639	80.551	372.5	62.139	187.917	47.556
5	-165.5	68.5	71	0.069	23	0	1	0	4483.795	1	0	21.003	8.422	229	116.104	27.457	-86.417	63.583	16.444	58.722	-218.333	81.826	227.111	63.556	117.667	26.806
6	-164.5	60.5	91	0.119	25	0	1	0	6036.884	1	0.5	29.865	8.493	282	45.903	32.23	-7.97	69.212	23	100.879	-108.546	86.007	655.879	56.485	301.061	83.727
7	-164.5	61.5	79	0.262	25	0	0	1	5848.153	1	0.5	31.985	8	160	61.014	33.005	-13.917	71.917	23	101.722	-120.806	84.854	586.778	61.139	283.222	74.111
8	-164.5	62.5	88	0.164	25	0	0	1	5657.755	1	0.5	30.448	8	160	42.042	32.233	-20.139	74.222	22.472	101.611	-131.889	82.819	525.806	63.944	262	66.528
9	-164.5	64.5	94	0.183	27	0.036	0	1	5272.205	2	0.333	26.725	7	511	91.875	30.745	-41.857	75.333	21.286	91.381	-159.333	76.963	404.571	63.524	205.143	51.857
10	-164.5	65.5	90	0.217	28	0	0	1	5077.175	2	0.333	23.707	7	400	177.451	28.535	-51.528	73	19.972	86.361	-171.75	79.865	361.5	63.389	184.75	45.972
11	-164.5	68.5	68	0.161	23	0.042	1	0	4483.795	1	0.5	20.685	8	479	181.826	27.62	-86.111	64.333	16.361	62.778	-218.25	80.639	217.139	66.861	115.806	25.306
12	-163.5	60.5	77	0.306	25	0.039	1	0	6036.884	1	0.5	31.027	8.59	55	24.028	33.867	-8.056	72.056	22.972	107.028	-115.556	85.465	603.389	56.583	278.306	74.694
13	-163.5	61.5	78	0.344	25	0.039	1	0	5848.153	2	0	31.968	8.04	45	61	33.495	-15.056	74.833	22.556	107.583	-129.444	84.306	514.278	61.639	251.167	63.917
14	-163.5	62.5	87	0.189	25	0.039	0	1	5657.755	2	0	31.703	7.66	165	76.597	32.727	-22.111	76.306	22.056	106.306	-140.389	82.556	475.194	64.722	239.722	60.472
15	-163.5	65.5	99	0.132	28	0	1	0	5077.175	2	0.333	23.705	7	400	273.799	28.122	-55.778	73.139	19.583	88.306	-179.917	79.57	360.694	65.139	186.139	46.833
16	-163.5	67.5	75	0.239	24	0.077	1	0	4682.909	1	0.667	22.023	7.71	413	151.59	28.302	-70.412	67.5	17.088	81.353	-201.441	81.09	233.912	68.765	126.882	27.088
17	-163.5	68.5	67	0.295	23	0.115	1	0	4483.795	2	0.5	20.8	7.81	620	366.25	27.043	-92.111	64.722	16.444	60.139	-224.75	77.097	210.528	68.583	114.5	24.806
18	-162.5	60.5	80	0.31	25	0.138	1	0	6036.884	1	0.667	30.805	8	70	10.014	34.17	-9.806	75.306	22.5	112.75	-125.583	84.785	515.111	57.778	240.889	61.639
19	-162.5	61.5	82	0.287	26	0.103	1	0	5848.153	2	0.5	30.718	7.76	90	63.188	33.767	-16.944	77.944	22.028	112.944	-139.583	84	432.361	63.167	215.25	52.389
20	-162.5	62.5	89	0.198	26	0	0	1	5657.755	2	0.333	30.157	7	415	185.347	31.715	-27.5	78.639	22	106.722	-151.722	82.674	429.972	66.361	220.778	55.25
21	-162.5	65.5	100	0.138	27	0.036	1	0	5077.175	2	0.333	22.84	7	620	219.111	29.372	-54.167	74.028	19.361	95.472	-184.167	80.006	363.083	66.889	187.944	46.639
22	-162.5	67.5	73	0.33	22	0.214	1	0	4682.909	3	0.25	23.438	7.966	435	152.646	29.017	-70.028	68.222	17	86	-204.556	80.674	223.583	70.528	123.194	25.583
23	-162.5	68.5	64	0.429	25	0.107	1	0	4483.795	2	0.6	21.392	8	670	503.382	26.84	-96.917	65.306	16.306	58.417	-230.417	74.91	206.417	69.222	113.444	24.833
24	-162.5	69.5	63	0.212	21	0.16	1	0	4283.44	2	0.333	15.273	8.381	389	100.042	26.523	-94.167	63.694	16	61.778	-231.306	80.514	170.694	72.972	95.917	18.972
25	-161.5	59.5	80	0.313	28	0.067	1	0	6223.887	2	0	32.57	7.387	250	88.729	33.922	-5.75	74.056	23.444	108.5	-113.278	86.194	708.056	52	312.333	87.639
26	-161.5	60.5	85	0.297	28	0.097	1	0	6036.884	2	0.333	30.192	7.45	121	15.66	34.18	-11.694	79	22.5	116.25	-134.056	84.319	478.028	57.75	224.194	56.083
27	-161.5	61.5	92	0.264	26	0.161	1	0	5848.153	2	0.5	30.595	7.65	240	106.028	34.193	-19.333	81.944	22	116.444	-149.25	83.264	403.972	63.889	202.722	48.806
28	-161.5	62.5	93	0.238	26	0.161	0	1	5657.755	3	0.25	29.902	7	410	193.528	31.953	-31.139	81.833	22	107.806	-161.667	82.507	404.222	68.083	210.806	52.361
29	-161.5	65.5	111	0.159	27	0.129	1	0	5077.175	3	0.25	22.985	7	325	155.785	30.133	-52.472	75.639	19.306	100.639	-188.361	79.744	346.722	69.111	183	44.556
30	-161.5	67.5	92	0.233	26	0.103	1	0	4682.909	4	0.2	25.34	8	655	370.799	27.805	-80.694	69.472	17.167	77.583	-216.75	78.083	234.222	69.75	127.639	28.778
31	-161.5	68.5	65	0.414	25	0.167	1	0	4483.795	2	0.6	21.758	8	700	587.403	26.12	-100.111	66.444	16.417	57.639	-235.139	72.021	206.444	70.167	113.306	25.472
32	-161.5	69.5	59	0.306	22	0.154	1	0	4283.44	2	0.333	15.03	8.18	550	152.042	25.925	-97.972	64.528	16	59.528	-235.917	79.549	170	72.889	95.556	19.361
33	-160.5	59.5	84	0.282	30	0.091	1	0	6223.887	1	0.5	31.988	7	550	315.021	32.875	-12.417	76.472	23.889	102.75	-119.667	86.479	648.111	49.972	282.667	87.611
34	-160.5	60.5	86	0.323	28	0.176	1	0	6036.884	2	0.333	30.168	7.04	580	227.188	33.112	-20.306	82.944	23.194	108.417	-142.944	85.368	520.194	57.389	245.667	69.361
35	-160.5	61.5	93	0.25	28	0.222	1	0	5848.153	3	0.25	31.483	7	240	92.979	34.635	-20.028	87.556	22.528	119.278	-156.472	83.042	438.222	64.139	220.306	59.083
36	-160.5	62.5	104	0.188	29	0.147	1	0	5657.755	1	0.75	31.29	7	305	146.236	34.555	-27.25	86.556	22	117.083	-167.778	81.785	405.444	66.583	209.056	55.917
37	-160.5	63.5	102	0.244	30	0.091	1	0	5465.752	3	0	27.767	7	530	240.354	31.015	-40.806	82.778	21.306	104.194	-177.083	79.868	375.361	72.639	204.694	47.056
38	-160.5	64.5	111	0.234	29	0.121	0	1	5272.205	3	0.25	28.155	7	530	205.993	31.247	-47.361	79.889	20.389	102.472	-185.194	79.146	350.972	73.361	192.639	43.583
39	-160.5	65.5	112	0.2	29	0.121	1	0	5077.175	3	0.25	25.35	7	310	173.146	31.253	-55.111	77.778	19.333	101.417	-196.944	79.494	320.694	69.75	171.778	41.083
40	-160.5	66.5	117	0.135	26	0.235	1	0	4880.723	3	0.5	27.74	7	470	109.222	31.1	-62.389	75.194	18.361	97.806	-206.417	80.285	273.639	68.472	146.25	34.472
41	-160.5	67.5	95	0.228	28	0.176	1	0	4682.909	3	0.4	25.845	7.35	640	440.292	27.297	-84.444	71.694	17.5	76.333	-224.917	76.139	239.083	68.694	128.306	30.694
42	-160.5	68.5	64	0.423	25	0.242	1	0	4483.795	2	0.6	22.035	7.93	700	648.694	25.27	-107.556	68.083	16.861	52.167	-244.361	71.465	212	69.278	114.806	27.583
43	-160.5	69.5	56	0.341	23	0.207	1	0	4283.44	3	0	14.707	8.04	730	288.535	25.488	-101.111	65.639	16	57.833	-240.25	77.382	170.528	71.722	94.917	20.333
44	-159.5	56.5	89	0.198	21	0.046	0	1	6773.919	2	0	32.37	7.458	1420	170.374	32.37	17.741	58.63	26.111	94.259	-49.444	83.826	633.037	34.296	239.259	102.333
45	-159.5	59.5	87	0.243	31	0.114	1	0	6223.887	2	0.333	32.015	7.14	820	395.333	32.555	-11.917	78.528	24.639	103.222	-119	85.833	611.194	47.361	263.694	90.083
46	-159.5	60.5	91	0.266	33	0.057	1	0	6036.884	1	0.667	29.358	7.64	820	578.868	30.12	-33.639	85.694	23.861	95.139	-153.722	85.34	551.833	56.417	260.111	82.139
47	-159.5	61.5	100	0.153	32	0.111	1	0	5848.153	3	0	32.32	7	580	157.715	34.375	-25.806	92.972	22.806	116.25	-166.139	82.278	474.361	66.472	241.944	68.028
48	-159.5	62.5	106	0.159	33	0.083	1	0	5657.755	1	0.75	31.915	7	180	100.118	35.295	-27.444	91.472	21.778	123.167	-176.972	80.799	427.028	63.556	215	61.889
49	-159.5	63.5	110	0.191	31	0.088	1	0	5465.752	2	0.333	29.997	7	520	199.313	33.36	-38.194	87.306	21.028	115.722	-186.917	79.549	382.25	66.5	198.611	51.75
50	-159.5	64.5	115	0.19	31	0.114	1	0	5272.205	2	0.5	28.07	7	550	458.236	30.902	-59.028	83.25	20.111	98.5	-205.139	76.521	355.889	67.139	186.056	48.194
51	-159.5	65.5	109	0.243	33	0.029	1	0	5077.175	3	0.25	26.46	7	505	259.722	30.418	-62.639	80.611	19.306	99.528	-211.667	77.968	316.667	66.083	164.5	42.75
52	-159.5	66.5	103	0.248	30	0.118	1	0	4880.723	3	0.5	27.93	7	340	97.465	31.545	-64.472	78.167	18.528	100.389	-215.833	80.035	272.306	65.889	141.694	35.861
53	-159.5	67.5	88	0.307	31	0.114	1	0	4682.909	3	0.4	27.448	7.05	880	514.479	29.392	-85.917	74.583	17.806	78.361	-232.444	73.688	241.694	66.361	126.694	32.222
54	-159.5	68.5	64	0.434	28	0.152	1	0	4483.795	2	0.6	22.23	7.85	520	578.16	25.99	-105.5	70.583	17.028	56.889	-246.611	70.764	211.361	68.056	112.611	28.139
55	-159.5	69.5	55	0.353	23	0.207	1	0	4283.44	2	0.333	14.387	8	600	307.257	25.573	-103.056	67.111	16.278	57.056	-244.278	76.583	171.25	70.833	93.861	21
56	-159.5	70.5	51	0.219	18	0.217	1	0	4081.904	1	0.667	11.41	8.866	79	10.754	25.032	-106.849	63.727	15.758	51.242	-248.121	82.243	141.788	73.788	79.97	15.97
57	-158.5	56.5	84	0.264	22	0.12	0	1	6773.919	2	0	38.8	7.03	899	186.201	38.8	20.778	60.5	26.361	98.25	-47.778	80.819	547.194	34.444	207.472	88.833
58	-158.5	59.5	100	0.115	33	0.057	1	0	6223.887	2	0.333	34.153	7	580	204.264	34.833	-1.806	80.917	25.028	113.611	-110.972	83.208	585.889	44.917	248.556	89.278
59	-158.5	60.5	98	0.19	34	0.056	1	0	6036.884	2	0.333	32.065	7.15	670	298.528	32.907	-21.694	88.333	24.111	108.278	-145.889	82.965	546.222	54.917	255.778	81.611
60	-158.5	61.5	102	0.15	33	0.083	1	0	5848.153	2	0.5	32.205	7	1385	343.181	33.72	-29.667	93.472	23	113.417	-169.972	81.514	498.167	61.917	247.5	72.028
